Act.NeSiteId,Actual Ne SiteName,SourceNode,Latitude,Longitude
PGI020,BAMBALEMO_Lebo,GPON00-D7-PGI-5,-0.781343,120.149288
PGI021,TBG_Lemusa,GPON02-D7-PGI-4,-0.86492,120.18234
PGI022,Pelawa_MW,GPON00-D7-PGI-5,-0.750789,120.113587
PGI023,TOMOLI,SW-D7-PGI004,-0.381416667,120.0349722
PGI024,SINIU,GPON04-D7-PGI-4APB,-0.539888889,120.0470833
PGI027,SULI_PARIGI,GPON01-D7-TLY-4,-1.0098889,120.40203
PGI028,BALINGGI,GPON01-D7-TLY-4,-0.96217,120.400311
PGI062,MSI_Silampayang,L2SW-D7-PGI063,-0.069166,120.033486
PGI032,DMT Kalamau Mensung,GPON03-D7-KOR-4,0.536388,120.7083
PGI033,EBT Tinombo Selatan,L2SW-D7-PGI063,-0.03834,120.05888
PGI034,Sritabaang,L2SW-D7-PGI060,0.453556,120.904
PGI035,Tomini,GPON02-D7-KOR-3TMI,0.513111111,120.5433056
PGI036,Tilung,GPON01-D7-KOR-4,0.524332,120.630241
PGI037,MM1_Karya_Agung,L2SW-D7-PGI060,0.512356,121.020428
PGI038,Maleali,GPON05-D7-PSO-4TBR ,-1.073373,120.541037
PGI040,SINIU,GPON01-D7-TNB-4,0.276998,120.208081
PGI041,DMT Wanagading Barat,L2SW-D7-PGI060,0.515824,120.997823
PGI042,Sejoli,GPON00-D7-MOT-4,0.48762,121.33201
PGI043,Masigi,GPON05-D7-PGI-4,-0.816698,120.161351
PGI044,Mensung,GPON03-D7-KOR-4,0.5145,120.6982778
PGI045,DMT Kasimbar Barat,L2SW-D7-PGI063,-0.136073,119.978229
PGI046,DMT Singura Toribulu,GPON04-D7-PGI-4APB,-0.336183,119.988653
PGI047,BKKBN_024,GPON02-D7-TNB-4,0.49034,120.45617
PGI048,TBG Lobu Moutong,GPON00-D7-MOT-4,0.48536,121.216248
PGI049,TBG Kayu Jati,GPON01-D7-KOR-4,0.479611,120.790505
PGI051,Olaya,GPON02-D7-PGI-4,-0.84366,120.18652
PGI052,DMT Wanagading,GPON07-D7-KOR-4PLP,0.50956,120.986188
PGI053,Sekarsari,GPON01-D7-TLY-4,-0.9805,120.3669444
PGI054,Mepanga,GPON03-D7-KOR-4,0.575471,120.752224
PGI055,Dusun_Enam,GPON01-D7-KOR-4,0.486805556,120.7781389
PGI057,DMT Maesa,GPON02-D7-PGI-4,-0.81555,120.173734
PGI058,PTI_Sausu,GPON02-D7-TLY-4SUS,-1.060416667,120.4597222
PGI059,DMT-Totole,GPON04-D7-PGI-4APB,-0.495976,120.047387
PGI060,MSI-Bulano,L2SW-D7-PGI060,0.47532,120.92591
PGI031,DMT Donggulu,SW-D7-PGI004,-0.221671,120.007638
PGI063,MSI_Posona,L2SW-D7-PGI063,-0.104861111,120.0349167
PGI065,TBG_Torue-2,GPON01-D7-TLY-4,-0.975229,120.313538
PGI067,DMT_SIPAYO,L2SW-D7-PGI010,0.1842,120.1234
PGI068,Sidoan_Selatan,GPON01-D7-TNB-4,0.24802,120.17989
PGI069,DMT BOBALO,GPON02-D7-TNB-4,0.429777,120.319333
PGI072,DMT_BAINAA,GPON01-D7-TNB-4,0.33346,120.240239
PGI073,DMT_ULATAN,GPON02-D7-TNB-4,0.462001,120.373003
PGI074,TBG_Ongka,GPON01-D7-KOR-4,0.527979,120.78635
PGI075,TBG_Tinombala,GPON03-D7-KOR-4,0.575199,120.766119
PGI076,TBG_Karya-Agung_II,L2SW-D7-PGI060,0.496268,121.052413
PGI079,TBG_Wanaprasta,GPON01-D7-TLY-4,-1.00302,120.36514
PGI081,Protelindo Bambalemo Parigi_MW,GPON00-D7-PGI-5,-0.7938,120.1633
PGI082,Sulawesi 00410,GPON02-D7-TNB-4,0.47886,120.42184
PGI083,TBG Nambaru,GPON03-D7-PGI-4SBS,-0.93251,120.23898
PGI084,TBG Salepae Morutong,GPON00-D7-MOT-4,0.48489,121.24302
PGI085,ONGKA PERSTUAN,GPON01-D7-KOR-4,0.50523,120.77797
PGI086,PALNBBC13_TBG Toruedantolai,GPON01-D7-TLY-4,-0.982659,120.32971
PGI087,TBG PELAWA PARIGI,GPON02-D7-PGI-4,-0.758427,120.124677
PGI090,EBT-Moutong_Barat,GPON00-D7-MOT-4,0.4619,121.2052
PGI092,EBT_Dusunan_Tinombo,GPON01-D7-TNB-4,0.39675,120.29
PGI096,MCBankMegaParigi_MW,GPON00-D7-PGI-5,-0.810802,120.174319
PGI097,MCAnugerahParigi_MW,GPON00-D7-PGI-5,-0.812662,120.177204
PGI102,Protelindo_Masigi,GPON02-D7-PGI-4,-0.81324,120.16795
PGI107,DMT Isat Pinotu,SW-D7-PGI004,-0.2866,120.0081
PGI110,DMT_Parigimpuu,GPON05-D7-PGI-4,-0.81525,120.13419
PGI115,TBG_Biga_Tomini,GPON02-D7-KOR-3TMI,0.51356,120.51597
PGI116,DMT Tombi,GPON04-D7-PGI-4APB,-0.44759,120.0214
PGI118,TBG_Wanamukti_Utara,L2SW-D7-PGI060,0.516555,120.93838
PGI122,DMT_SIGENTI_BARAT,L2SW-D7-PGI010,0.14248,120.10004
PGI125,EBT Sidole,GPON04-D7-PGI-4APB,-0.47242,120.025266
PGI128,Sumbersari,GPON03-D7-PGI-4SBS,-0.946272,120.26259
PGI129,SIDOAN_SELATAN_2,L2SW-D7-PGI010,0.221825,120.151382
PGI134,DMT_Bolano_Lambunu,L2SW-D7-PGI060,0.517309,120.961646
PGI145,EBT Mepanga Parimo,GPON01-D7-KOR-4,0.51833,120.65881
PGI176,Protelindo Siendeng,L2SW-D7-PGI060,0.455938333,120.9719833
PGI177,DMT_Sumber_Agung,GPON00-D7-KOR-5,0.55948,120.74068
PSO001,Poso,GPON01-D7-PSO-3,-1.391111111,120.7766667
